SNPs,PMIDs,Neuroimaging_Features
RS75932628,26058955,Atrophy
RS75932628,25936935,Tau
RS75932628,25936935,Cerebrospinal fluid
RS75932628,24535663,Alzheimer disease
RS75932628,25027412,White matter
RS75932628,25027412,Voxel_based morphometry
RS75932628,25027412,Gray matter
RS75932628,25027412,Parietal Lobe
RS75932628,25027412,Volumetric MRI
RS75932628,25027412,Atrophy
RS75932628,25186855,Alzheimer disease
RS75932628,26058841,Amyloid deposition
 RS1532278,21460841,Alzheimer disease
RS3865444,21460841,Alzheimer disease
RS7561528,21460841,Alzheimer disease
RS9349407,21460841,Alzheimer disease
RS561655,21460841,Alzheimer disease
 RS11767557,21460841,Alzheimer disease
 RS4938933,21460841,Alzheimer disease
RS6701713,21460841,Alzheimer disease
RS6265,18786162,Precuneus
RS6265,18786162,Atrophy
RS6265,18786162,Neocortex
RS6265,18786162,Magnetic resonance imaging
RS6265,17151862,Assessment of anxiety
RS6265,25625606,Hippocampal atrophy
RS6265,25625606,Hippocampus volume
RS6265,25625606,Atrophy
 RS6581612,25625606,Hippocampal atrophy
 RS6581612,25625606,Hippocampus volume
 RS6581612,25625606,Atrophy
RS6265,18505307,Scores
RS6265,14730194,Assessment of anxiety
RS6265,21300947,Alzheimer disease
RS6265,21300947,Cortical Thickness
RS6265,21300947,Entorhinal Cortex
RS6265,21300947,White matter integrity
RS6265,21300947,White matter
RS6265,21300947,Microstructural integrity
RS6265,21300947,Fractional anisotropy
RS6265,21300947,Magnetic resonance imaging
RS6265,19412541,Tau
RS6265,19412541,Cerebrospinal fluid
RS6265,19412541,Abeta_42
RS6265,19412541,Hippocampus
RS6265,15843069,Mini mental state exam
RS6265,15843069,Scores
rs1048218,15843069,Mini mental state exam
rs1048218,15843069,Scores
RS6265,16627933,Mini mental state exam
RS6265,16627933,Hippocampus
RS6265,18460776,Scores
RS6265,16899999,Hippocampus
RS6265,15084795,Hippocampus
RS6265,15084795,Cerebral Cortex
RS6265,18179845,Assessment of anxiety
RS6265,17657167,Alzheimer disease
RS6265,17657167,Hippocampus
RS6265,16962786,Alzheimer disease
RS11030104,16962786,Alzheimer disease
RS7103411,16962786,Alzheimer disease
RS6265,24086677,Hippocampus
RS6265,24086677,Brain volume
RS6265,24086677,Whole brain atrophy
RS6265,24086677,Alzheimers disease assessment scale
RS6265,24086677,Whole brain volume
RS6265,24086677,Scores
RS11030104,24086677,Hippocampus
RS11030104,24086677,Brain volume
RS11030104,24086677,Whole brain atrophy
RS11030104,24086677,Alzheimers disease assessment scale
RS11030104,24086677,Whole brain volume
RS11030104,24086677,Scores
RS1157659,24086677,Hippocampus
RS1157659,24086677,Brain volume
RS1157659,24086677,Whole brain atrophy
RS1157659,24086677,Alzheimers disease assessment scale
RS1157659,24086677,Whole brain volume
RS1157659,24086677,Scores
RS1050187,24086677,Hippocampus
RS1050187,24086677,Brain volume
RS1050187,24086677,Whole brain atrophy
RS1050187,24086677,Alzheimers disease assessment scale
RS1050187,24086677,Whole brain volume
RS1050187,24086677,Scores
RS1157459,24086677,Hippocampus
RS1157459,24086677,Brain volume
RS1157459,24086677,Whole brain atrophy
RS1157459,24086677,Alzheimers disease assessment scale
RS1157459,24086677,Whole brain volume
RS1157459,24086677,Scores
RS11030108,24086677,Hippocampus
RS11030108,24086677,Brain volume
RS11030108,24086677,Whole brain atrophy
RS11030108,24086677,Alzheimers disease assessment scale
RS11030108,24086677,Whole brain volume
RS11030108,24086677,Scores
RS11030094,24086677,Hippocampus
RS11030094,24086677,Brain volume
RS11030094,24086677,Whole brain atrophy
RS11030094,24086677,Alzheimers disease assessment scale
RS11030094,24086677,Whole brain volume
RS11030094,24086677,Scores
RS2203877,24086677,Hippocampus
RS2203877,24086677,Brain volume
RS2203877,24086677,Whole brain atrophy
RS2203877,24086677,Alzheimers disease assessment scale
RS2203877,24086677,Whole brain volume
RS2203877,24086677,Scores
RS10835211,24086677,Hippocampus
RS10835211,24086677,Brain volume
RS10835211,24086677,Whole brain atrophy
RS10835211,24086677,Alzheimers disease assessment scale
RS10835211,24086677,Whole brain volume
RS10835211,24086677,Scores
RS7934165,24086677,Hippocampus
RS7934165,24086677,Brain volume
RS7934165,24086677,Whole brain atrophy
RS7934165,24086677,Alzheimers disease assessment scale
RS7934165,24086677,Whole brain volume
RS7934165,24086677,Scores
RS10501087,24086677,Hippocampus
RS10501087,24086677,Brain volume
RS10501087,24086677,Whole brain atrophy
RS10501087,24086677,Alzheimers disease assessment scale
RS10501087,24086677,Whole brain volume
RS10501087,24086677,Scores
RS908867,24086677,Hippocampus
RS908867,24086677,Brain volume
RS908867,24086677,Whole brain atrophy
RS908867,24086677,Alzheimers disease assessment scale
RS908867,24086677,Whole brain volume
RS908867,24086677,Scores
RS1491850,24086677,Hippocampus
RS1491850,24086677,Brain volume
RS1491850,24086677,Whole brain atrophy
RS1491850,24086677,Alzheimers disease assessment scale
RS1491850,24086677,Whole brain volume
RS1491850,24086677,Scores
RS12273363,24086677,Hippocampus
RS12273363,24086677,Brain volume
RS12273363,24086677,Whole brain atrophy
RS12273363,24086677,Alzheimers disease assessment scale
RS12273363,24086677,Whole brain volume
RS12273363,24086677,Scores
RS925946,24086677,Hippocampus
RS925946,24086677,Brain volume
RS925946,24086677,Whole brain atrophy
RS925946,24086677,Alzheimers disease assessment scale
RS925946,24086677,Whole brain volume
RS925946,24086677,Scores
RS5848,25470345,Alzheimer disease
RS5848,25470345,Hippocampus
RS1990622,25470345,Alzheimer disease
RS1990622,25470345,Hippocampus
 RS704180,25470345,Alzheimer disease
 RS704180,25470345,Hippocampus
RS5848,24770881,Hippocampus
RS1990622,24770881,Hippocampus
 RS704178,24770881,Hippocampus
RS5848,23300100,Alzheimer disease
RS5848,23300100,Parkinson disease
RS5848,20197700,Alzheimer disease
RS5848,20197700,Hippocampus
RS5848,26682689,Cerebrospinal fluid
RS5848,26682689,p_tau
RS5848,26682689,Cortical Thickness
RS5848,19625741,Cerebrospinal fluid
RS5848,19625741,Parietal Lobe
 RS9897526,19625741,Cerebrospinal fluid
 RS9897526,19625741,Parietal Lobe
RS5848,21346515,Alzheimer disease
RS5848,21346515,Hippocampus
RS7561528,25199842,Alzheimer disease
RS7561528,25199842,Scores
RS561655,25199842,Alzheimer disease
RS561655,25199842,Scores
RS6701713,25199842,Alzheimer disease
RS6701713,25199842,Scores
rs459543,11879646,Abeta_42
rs459543,18687920,Cerebrospinal fluid
rs459543,18687920,Abeta_42
rs459543,18687920,Amyloid deposition
rs459543,18687920,Brain region
rs459543,15974898,Abeta_42
rs459543,19067586,Abeta_42
rs459543,16027115,Alzheimer disease
rs459543,16027115,Hippocampus
rs459543,16027115,Neocortex
 RS3824968,21997402,Tau
 RS3824968,21997402,Cerebrospinal fluid
 RS2282649,21997402,Tau
 RS2282649,21997402,Cerebrospinal fluid
 RS3824968,18063222,Alzheimer disease
 RS2282649,18063222,Alzheimer disease
 RS1699102,18063222,Alzheimer disease
 RS2373115,17553421,Tau
 RS2373115,19924507,Alzheimer disease
 RS1385600,19924507,Alzheimer disease
 RS2373115,20188796,Alzheimer disease
 RS2373115,20188796,Tau hyperphosphorylation
 RS2373115,21285854,Alzheimer disease
 RS7101429,21285854,Alzheimer disease
 RS1385600,21285854,Alzheimer disease
 RS4945261,21285854,Alzheimer disease
 RS7115850,21285854,Alzheimer disease
 RS2373115,18272374,Tau
RS334558,25420549,Tau
RS334558,25420549,Mini mental state exam
RS334558,25420549,Cerebrospinal fluid
RS334558,25420549,Scores
 RS1154597,25420549,Tau
 RS1154597,25420549,Mini mental state exam
 RS1154597,25420549,Cerebrospinal fluid
 RS1154597,25420549,Scores
 RS3107669,25420549,Tau
 RS3107669,25420549,Mini mental state exam
 RS3107669,25420549,Cerebrospinal fluid
 RS3107669,25420549,Scores
RS334558,22785398,Resting state fMRI
RS334558,22785398,Superior Frontal Gyrus
RS334558,25141968,Tau
 RS60393216,25141968,Tau
 RS3732361,25141968,Tau
 RS56728675,25141968,Tau
RS334558,19154537,Tau
RS334558,19154537,Tau hyperphosphorylation
RS735555,19154537,Tau
RS735555,19154537,Tau hyperphosphorylation
RS334558,25351705,Alzheimer disease
RS6438552,25351705,Alzheimer disease
RS334558,21443865,Tau
rs2986017,20634593,Tau
rs2986017,20634593,Cerebrospinal fluid
rs2986017,19191331,Alzheimer disease
rs2986017,18585350,Hippocampus
rs2986017,18585350,Hippocampal atrophy
rs2986017,19472444,Alzheimer disease
rs2986017,22874670,Alzheimer disease
 RS4918016,22874670,Alzheimer disease
 RS2986018,22874670,Alzheimer disease
 RS41287502,22874670,Alzheimer disease
 RS41287500,22874670,Alzheimer disease
rs754203,15034781,Tau
rs754203,15034781,Cerebrospinal fluid
rs754203,15034781,Abeta_42
rs754203,15034781,Amyloid beta metabolism
rs754203,22528464,Alzheimer disease
rs754203,19705089,Cerebrospinal fluid
rs754203,15936520,Cerebrospinal fluid
rs754203,19553612,Alzheimer disease
RS17070145,18789830,Hippocampus
RS17070145,18789830,Brain region
RS17070145,18789830,Precuneus
RS17070145,18789830,Positron emission tomography
RS17070145,23266749,Grey matter volume
RS17070145,23266749,Gray matter
RS17070145,23266749,Insula
RS17070145,25800888,Hippocampus
RS17070145,25800888,Inferior Frontal Gyrus
RS17070145,25800888,Single Photon Emission Computed Tomography
RS17070145,20185150,Logical memory
RS17070145,21185624,Brain region
RS17070145,21185624,Hindbrain
RS17070145,18194457,Scores
rs6313,15313842,Alzheimer disease
rs6313,15313842,Serotonin
rs6313,15313842,Assessment of anxiety
rs6313,11566166,Serotonin
rs6313,14699448,Assessment of anxiety
rs6313,15000807,Alzheimer disease
rs6313,15000807,Serotonin
rs6313,17183148,Alzheimer disease
rs6313,17183148,Serotonin
rs6313,17183148,Assessment of anxiety
rs11542040,17183148,Alzheimer disease
rs11542040,17183148,Serotonin
rs11542040,17183148,Assessment of anxiety
rs6313,19494443,Serotonin
rs6313,17614196,Alzheimer disease
rs6313,17614196,Serotonin
rs6313,17614196,Assessment of anxiety
rs6313,17525976,Alzheimer disease
rs6313,17525976,Assessment of anxiety
rs6313,17481814,Neocortex
rs6313,16967466,Mini mental state exam
rs6313,16967466,Serotonin
rs6313,16967466,Scores
RS638405,15784960,Scores
RS638405,12707937,Alzheimer disease
RS638405,20849576,Cerebrospinal fluid
RS638405,23341828,Mini mental state exam
RS638405,23341828,Grey matter volume
RS638405,23341828,Voxel_based morphometry
RS638405,23341828,Hindbrain
RS638405,23341828,Magnetic resonance imaging
rs661,17012294,Neuropsychological assessments
rs661,17012294,Functional magnetic resonance imaging
rs661,17012294,Magnetic resonance imaging
rs661,17545141,Alzheimer disease
rs661,17545141,Tau
rs661,17545141,Abeta_42
rs661,17545141,Gray matter
rs661,17553989,Amyloid deposition
rs661,17553989,Pittsburgh Compound B
rs661,17553989,Amyloid imaging
rs661,17553989,Positron emission tomography
rs661,17553989,Striatum
 RS2471738,18319590,Tau
 RS2471738,18319590,Tau hyperphosphorylation
 RS983583,18319590,Tau
 RS983583,18319590,Tau hyperphosphorylation
 RS2471738,19684401,Tau
 RS2471738,19684401,Tau hyperphosphorylation
RS1799986,19684401,Tau
RS1799986,19684401,Tau hyperphosphorylation
 RS1868402,20862329,Tau
 RS1868402,20862329,Cerebrospinal fluid
 RS1868402,23727081,Tau
 RS1868402,23727081,Cerebrospinal fluid
 RS1868402,23727081,Clinical dementia rating
 RS1868402,23727081,Scores
RS3785883,23727081,Tau
RS3785883,23727081,Cerebrospinal fluid
RS3785883,23727081,Clinical dementia rating
RS3785883,23727081,Scores
 RS661057,19889229,White matter
 RS661057,19822782,Alzheimer disease
 RS641120,19822782,Alzheimer disease
 RS12364988,19822782,Alzheimer disease
 RS1800764,21139807,Cerebrospinal fluid
RS4343,21139807,Cerebrospinal fluid
RS1799752,21139807,Cerebrospinal fluid
 RS1800764,24851853,Alzheimer disease
RS4343,24851853,Alzheimer disease
RS4291,24851853,Alzheimer disease
 RS1800764,19956428,Cerebrospinal fluid
RS4343,19956428,Cerebrospinal fluid
 RS4921,19956428,Cerebrospinal fluid
RS1990622,25653292,Alzheimer disease
RS1990622,25653292,Hippocampus
RS1990622,21220649,Alzheimer disease
 RS3173615,21220649,Alzheimer disease
RS6971,25840980,Alzheimer disease
RS6971,25840980,Mini mental state exam
RS6971,25840980,Amyloid positron emission tomography
RS6971,25840980,18F_florbetapir
RS6971,25840980,Alzheimers disease assessment scale
RS6971,25840980,Geriatric depression scale
RS6971,25840980,Positron emission tomography
RS6971,25840980,Scores
RS6971,22968319,Positron emission tomography
RS6971,25707397,Hippocampus
RS6971,25707397,White matter
RS6971,25707397,Positron emission tomography
RS6971,26762507,White matter
 RS7101429,19204163,Alzheimer disease
 RS10519262,19204163,Alzheimer disease
 RS9886784,19204163,Alzheimer disease
 RS7019241,19204163,Alzheimer disease
 RS7101429,22856364,Brain volume
 RS498055,16385451,Alzheimer disease
 RS498055,17725684,Alzheimer disease
 RS498055,17725684,Scores
 RS498055,16773580,Alzheimer disease
RS4343,16642441,Alzheimer disease
 RS4351,16642441,Alzheimer disease
rs7521,7838376,Tau
rs7521,10931371,Tau
rs7521,10931371,Neocortex
RS668387,23463934,Mini mental state exam
RS668387,23463934,Scores
RS668387,23463934,Assessment of anxiety
 RS641120,23463934,Mini mental state exam
 RS641120,23463934,Scores
 RS641120,23463934,Assessment of anxiety
 RS68902,23463934,Mini mental state exam
 RS68902,23463934,Scores
 RS68902,23463934,Assessment of anxiety
 RS8702,17653041,Alzheimer disease
 RS8702,17611642,Tau
 RS8702,17611642,Cerebrospinal fluid
 RS8702,19911314,Mini mental state exam
 RS8702,19911314,Cerebrospinal fluid
 RS8702,19911314,Scores
 RS3212079,19911314,Mini mental state exam
 RS3212079,19911314,Cerebrospinal fluid
 RS3212079,19911314,Scores
 RS8007903,19911314,Mini mental state exam
 RS8007903,19911314,Cerebrospinal fluid
 RS8007903,19911314,Scores
 RS7294919,22504417,Hippocampus
 RS7294919,22504417,Hippocampus volume
 RS7294919,22504417,Brain volume
 RS7294919,22504417,Intracranial volume
 RS7294919,22504417,Magnetic resonance imaging
 RS7294919,22504417,Assessment of anxiety
 RS10784502,22504417,Hippocampus
 RS10784502,22504417,Hippocampus volume
 RS10784502,22504417,Brain volume
 RS10784502,22504417,Intracranial volume
 RS10784502,22504417,Magnetic resonance imaging
 RS10784502,22504417,Assessment of anxiety
 RS10494373,22504417,Hippocampus
 RS10494373,22504417,Hippocampus volume
 RS10494373,22504417,Brain volume
 RS10494373,22504417,Intracranial volume
 RS10494373,22504417,Magnetic resonance imaging
 RS10494373,22504417,Assessment of anxiety
 RS7294919,24361131,Hippocampus volume
 RS7294919,22504421,Hippocampus
 RS7294919,22504421,Hippocampus volume
 RS6741949,22504421,Hippocampus
 RS6741949,22504421,Hippocampus volume
 RS17178006,22504421,Hippocampus
 RS17178006,22504421,Hippocampus volume
 RS7852872,22504421,Hippocampus
 RS7852872,22504421,Hippocampus volume
 RS541458,21300948,Alzheimer disease
 RS541458,21300948,Tau
 RS541458,21300948,Cerebrospinal fluid
RS4925,22494505,Parkinson disease
RS156697,22494505,Parkinson disease
RS4925,20818931,Alzheimer disease
 RS1804834,20818931,Alzheimer disease
RS4925,18307576,Alzheimer disease
 RS2297235,18307576,Alzheimer disease
RS4925,15623683,Alzheimer disease
RS4925,15623683,Cerebrospinal fluid
RS3810950,21507424,Assessment of anxiety
 RS1880676,21507424,Assessment of anxiety
RS3810950,15690550,Acetylcholine
RS3810950,21883924,Mini mental state exam
RS8178990,21883924,Mini mental state exam
RS1799990,12733424,Brain region
RS11538766,12733424,Brain region
RS1799990,15277640,Alzheimer disease
RS1799990,12445160,Tau
RS1799990,12445160,Hippocampus
RS1799990,12445160,Entorhinal Cortex
RS1799990,23399523,Alzheimer disease
RS1799990,19822779,Alzheimer disease
RS28933385,19822779,Alzheimer disease
RS1799990,15305978,Amyloid deposition
RS1799990,15305978,Hindbrain
RS1799990,15305978,Cerebral Cortex
RS1799990,16871401,Cerebral Cortex
 RS2298813,24938503,Hippocampus
 RS2298813,24938503,Hippocampal atrophy
 RS2298813,24938503,Whole brain atrophy
 RS2298813,24938503,Cerebral atrophy
 RS2298813,24938503,Magnetic resonance imaging
 RS4935774,24938503,Hippocampus
 RS4935774,24938503,Hippocampal atrophy
 RS4935774,24938503,Whole brain atrophy
 RS4935774,24938503,Cerebral atrophy
 RS4935774,24938503,Magnetic resonance imaging
 RS1133174,24938503,Hippocampus
 RS1133174,24938503,Hippocampal atrophy
 RS1133174,24938503,Whole brain atrophy
 RS1133174,24938503,Cerebral atrophy
 RS1133174,24938503,Magnetic resonance imaging
 RS2298813,25382023,Alzheimer disease
 RS117260922,25382023,Alzheimer disease
 RS143571823,25382023,Alzheimer disease
 RS10845990,22421804,Tau
 RS10845990,21295279,Alzheimer disease
 RS10845990,21295279,Tau
 RS2651206,20096481,Tau
 RS7764257,20096481,Tau
 RS3800294,20096481,Tau
 RS2756173,20096481,Tau
 RS1995300,20096481,Tau
 RS2104142,20096481,Tau
 RS6458330,20096481,Tau
 RS10807287,20096481,Tau
 RS6936397,20096481,Tau
 RS2651206,21219968,Tau
 RS7764257,21219968,Tau
 RS1345203,24505811,Brain region
 RS1345203,24505811,Brain volume
 RS1345203,24505811,Temporal lobe volume
 RS1213205,24505811,Brain region
 RS1213205,24505811,Brain volume
 RS1213205,24505811,Temporal lobe volume
 RS1345203,25264344,Brain region
 RS1345203,25264344,Brain volume
 RS1345203,25264344,Temporal lobe volume
 RS1345203,25264344,Tensor_based morphometry
 RS1345203,25264344,Magnetic resonance imaging
 RS1213205,25264344,Brain region
 RS1213205,25264344,Brain volume
 RS1213205,25264344,Temporal lobe volume
 RS1213205,25264344,Tensor_based morphometry
 RS1213205,25264344,Magnetic resonance imaging
 RS600491,17510943,Tau
 RS600491,17510943,Cerebrospinal fluid
 RS600491,17510943,Abeta_42
rs718265,17510943,Tau
rs718265,17510943,Cerebrospinal fluid
rs718265,17510943,Abeta_42
 RS7374,17510943,Tau
 RS7374,17510943,Cerebrospinal fluid
 RS7374,17510943,Abeta_42
 RS638944,17510943,Tau
 RS638944,17510943,Cerebrospinal fluid
 RS638944,17510943,Abeta_42
 RS600491,22910610,Brain region
 RS11622883,21903150,Mini mental state exam
 RS11622883,21903150,Scores
RS505058,21903150,Mini mental state exam
RS505058,21903150,Scores
 RS11622883,18848371,Mini mental state exam
 RS11622883,18848371,Scores
RS505058,18848371,Mini mental state exam
RS505058,18848371,Scores
RS12007229,22116812,Alzheimer disease
rs5952,18671953,Cerebrospinal fluid
rs5952,18671953,Hippocampus
 RS1568566,18671953,Cerebrospinal fluid
 RS1568566,18671953,Hippocampus
rs5952,15316799,Cerebrospinal fluid
rs5952,15316799,Hippocampus
 RS2585590,26194614,Tau
 RS2585590,26194614,Brain region
 RS334543,26194614,Tau
 RS334543,26194614,Brain region
 RS2585590,24112793,Tau
 RS2585590,24112793,Amyloid deposition
 RS2585590,24112793,Amyloid positron emission tomography
 RS334543,24112793,Tau
 RS334543,24112793,Amyloid deposition
 RS334543,24112793,Amyloid positron emission tomography
 RS3098914,24112793,Tau
 RS3098914,24112793,Amyloid deposition
 RS3098914,24112793,Amyloid positron emission tomography
 RS457581,24112793,Tau
 RS457581,24112793,Amyloid deposition
 RS457581,24112793,Amyloid positron emission tomography
 RS11600875,21185108,Brain region
 RS7945931,21185108,Brain region
 RS2298525,21185108,Brain region
 RS7759295,26059999,Alzheimer disease
 RS6910730,26059999,Alzheimer disease
 RS7759295,25545807,Alzheimer disease
 RS7759295,25545807,Tau
 RS6910730,25545807,Alzheimer disease
 RS6910730,25545807,Tau
 RS704180,26115089,Hippocampus
rs718265,17579359,Brain region
RS2227564,16967469,Mini mental state exam
RS2227564,16967469,Scores
 RS2227571,16967469,Mini mental state exam
 RS2227571,16967469,Scores
 RS2227562,16967469,Mini mental state exam
 RS2227562,16967469,Scores
rs4065,16967469,Mini mental state exam
rs4065,16967469,Scores
RS2227564,12898287,Alzheimer disease
RS2227564,15615772,Abeta_42
 RS983583,18290843,Tau
 RS983583,18290843,Tau hyperphosphorylation
 RS964917,18290843,Tau
 RS964917,18290843,Tau hyperphosphorylation
RS41345849,12609057,Alzheimer disease
RS41345849,17456364,Mean transit time
rs2230805,19606474,Alzheimer disease
rs2230805,19606474,Cerebrospinal fluid
RS3785883,25324900,Tau
RS3785883,25324900,Hindbrain
RS8070723,25324900,Tau
RS8070723,25324900,Hindbrain
RS592297,27117083,Brain region
RS592297,27117083,Atrophy
RS543293,27117083,Brain region
RS543293,27117083,Atrophy
RS642949,27117083,Brain region
RS642949,27117083,Atrophy
 RS514049,22572541,Cerebrospinal fluid
 RS514049,22572541,Hippocampus
 RS514049,22572541,Hindbrain
 RS514049,22572541,Scores
 RS653765,22572541,Cerebrospinal fluid
 RS653765,22572541,Hippocampus
 RS653765,22572541,Hindbrain
 RS653765,22572541,Scores
 RS514049,21196064,Cerebrospinal fluid
rs55979514,11948243,Abeta_42
rs55979514,16849325,Alzheimer disease
RS1800557,8049900,Cerebral hemorrhage
RS1800557,8023065,Alzheimer disease
 RS1768208,26335643,Tau
 RS5984894,20523261,Alzheimer disease
 RS5941047,20523261,Alzheimer disease
 RS2573905,20523261,Alzheimer disease
 RS4568761,20523261,Alzheimer disease
 RS6494223,24951635,Mini mental state exam
 RS6494223,18696274,Acetylcholine
RS28933385,16835721,Cerebrospinal fluid
RS28933385,12820876,Hindbrain
rs55871421,12820876,Hindbrain
RS28933385,14967768,Alzheimer disease
 RS2049045,22596272,Hippocampus
 RS2049045,22596272,Brain region
 RS2049045,22596272,Hippocampal perfusion
 RS2049045,22596272,Hypoperfusion
 RS2049045,22596272,Single Photon Emission Computed Tomography
 RS2049045,22596272,Perfusion
 RS2049045,19661618,Assessment of anxiety
RS3758653,22691691,Dopamine
 RS936465,22691691,Dopamine
 RS11246228,22691691,Dopamine
 RS752306,22691691,Dopamine
RS3758653,23034259,Dopamine
 RS12516948,23034259,Dopamine
 RS11133762,23034259,Dopamine
 RS2937639,23034259,Dopamine
 RS4646312,23034259,Dopamine
 RS2020917,23034259,Dopamine
RS916455,23034259,Dopamine
rs6347,23034259,Dopamine
 RS1080985,19738170,Alzheimer disease
 RS1080985,19738170,Mini mental state exam
 RS1080985,19738170,Adverse events
 RS1080985,25538729,Mini mental state exam
RS17571,16652347,Alzheimer disease
RS17571,16652347,Tau
RS17571,16652347,Mini mental state exam
RS17571,16652347,Cerebrospinal fluid
RS17571,16652347,Abeta_42
RS17571,16652347,Scores
RS17571,23415546,Hindbrain
RS1799986,24596678,Amyloid deposition
RS1799986,24596678,Amyloid positron emission tomography
RS1799986,24596678,11C_PiB
RS34637584,16437584,Substantia Nigra
RS34637584,17713120,Alzheimer disease
RS34637584,17713120,Tau
RS34637584,17713120,Atrophy
rs33962975,17713120,Alzheimer disease
rs33962975,17713120,Tau
rs33962975,17713120,Atrophy
RS34778348,17713120,Alzheimer disease
RS34778348,17713120,Tau
RS34778348,17713120,Atrophy
RS33939927,17713120,Alzheimer disease
RS33939927,17713120,Tau
RS33939927,17713120,Atrophy
RS34637584,16401756,Alzheimer disease
RS34637584,16102903,Atrophy
RS34637584,19072560,Tau
RS2230806,16596262,Cerebrospinal fluid
 RS2246293,16596262,Cerebrospinal fluid
RS2230806,12600718,Cerebrospinal fluid
RS2230808,12600718,Cerebrospinal fluid
RS2230806,17430597,Cerebrospinal fluid
RS1800587,24103372,Assessment of anxiety
RS1800587,19158434,Mini mental state exam
RS1800587,19158434,Assessment of anxiety
RS1800587,21070631,Dopamine
RS1611115,21070631,Dopamine
 RS113464261,26366461,Algorithms
 RS76306710,26366461,Algorithms
 RS668134,26366461,Algorithms
 RS114506298,26366461,Algorithms
 RS7929589,26366461,Algorithms
 RS73504429,26366461,Algorithms
 RS7530069,26366461,Algorithms
 RS514716,23562540,Tau
 RS514716,23562540,Cerebrospinal fluid
 RS6922617,23562540,Tau
 RS6922617,23562540,Cerebrospinal fluid
 RS9877502,23562540,Tau
 RS9877502,23562540,Cerebrospinal fluid
RS10410711,26359528,Scores
RS2285513,26359528,Scores
RS10421862,26359528,Scores
RS2945988,26359528,Scores
RS541169,26359528,Scores
RS7718456,25670955,Hippocampus volume
RS7718456,25670955,Precuneus
RS16964473,25670955,Hippocampus volume
RS16964473,25670955,Precuneus
RS17029131,25670955,Hippocampus volume
RS17029131,25670955,Precuneus
RS6446443,25670955,Hippocampus volume
RS6446443,25670955,Precuneus
RS12972537,25670955,Hippocampus volume
RS12972537,25670955,Precuneus
 RS2456772,21811019,Tau
 RS917570,21811019,Tau
 RS2448347,21811019,Tau
 RS1871447,21811019,Tau
 RS1256429,25649652,Brain region
 RS1256429,25649652,No mapping: IO001244
 RS1256429,25649652,Magnetic resonance imaging
 RS10770042,25649652,Brain region
 RS10770042,25649652,No mapping: IO001244
 RS10770042,25649652,Magnetic resonance imaging
 RS2829841,25649652,Brain region
 RS2829841,25649652,No mapping: IO001244
 RS2829841,25649652,Magnetic resonance imaging
 RS2724509,25649652,Brain region
 RS2724509,25649652,No mapping: IO001244
 RS2724509,25649652,Magnetic resonance imaging
 RS3857059,24777780,Alzheimer disease
 RS1491923,24777780,Alzheimer disease
 RS2619363,24777780,Alzheimer disease
 RS2583988,24777780,Alzheimer disease
rs12850496,19650872,Assessment of anxiety
 RS7523477,21537386,Tau
 RS4951168,21537386,Tau
RS4420638,21537386,Tau
 RS8014408,24362753,Alzheimer disease
 RS981471,24362753,Alzheimer disease
 RS11711889,21059989,Alzheimer disease
 RS4669573,21059989,Alzheimer disease
 RS9945493,21059989,Alzheimer disease
 RS7908652,21059989,Alzheimer disease
 RS10197851,21059989,Alzheimer disease
 RS1117750,21059989,Alzheimer disease
 RS868749,12770689,Acetylcholine
 RS2835740,19995442,Tau hyperphosphorylation
 RS2835762,19995442,Tau hyperphosphorylation
 RS2835761,19995442,Tau hyperphosphorylation
 RS8132976,19995442,Tau hyperphosphorylation
 RS2154545,19995442,Tau hyperphosphorylation
 RS11701483,19995442,Tau hyperphosphorylation
 RS1137600,19995442,Tau hyperphosphorylation
RS2732614,26632684,Alzheimer disease
RS2732614,26632684,Tau
RS2732614,26632684,Parkinson disease
RS199443,26632684,Alzheimer disease
RS199443,26632684,Tau
RS199443,26632684,Parkinson disease
 RS8070488,24439028,Alzheimer disease
 RS7792525,24439028,Alzheimer disease
 RS3752228,24439028,Alzheimer disease
 RS2071590,24439028,Alzheimer disease
 RS762237,19477230,White matter
 RS2834072,19477230,White matter
RS362344,25808939,Cerebrospinal fluid
RS2040273,25808939,Cerebrospinal fluid
RS214484,25808939,Cerebrospinal fluid
RS2068143,25808939,Cerebrospinal fluid
RS466448,25808939,Cerebrospinal fluid
 RS1439568,23042215,Alzheimer disease
 RS11870474,23857120,Alzheimer disease
 RS149979685,25172201,Alzheimer disease
 RS144662445,25172201,Alzheimer disease
 RS22334693,23567436,Alzheimer disease
 RS22334693,23567436,Mini mental state exam
 RS22334693,23567436,Clinical dementia rating
 RS1884049,23567436,Alzheimer disease
 RS1884049,23567436,Mini mental state exam
 RS1884049,23567436,Clinical dementia rating
 RS3853248,23567436,Alzheimer disease
 RS3853248,23567436,Mini mental state exam
 RS3853248,23567436,Clinical dementia rating
 RS9341016,23567436,Alzheimer disease
 RS9341016,23567436,Mini mental state exam
 RS9341016,23567436,Clinical dementia rating
 RS9397456,23567436,Alzheimer disease
 RS9397456,23567436,Mini mental state exam
 RS9397456,23567436,Clinical dementia rating
 RS6557171,23567436,Alzheimer disease
 RS6557171,23567436,Mini mental state exam
 RS6557171,23567436,Clinical dementia rating
 RS2179922,23567436,Alzheimer disease
 RS2179922,23567436,Mini mental state exam
 RS2179922,23567436,Clinical dementia rating
